headline,link,description,time
চড়া সুদ দিয়েও গ্রেফতার দেনাদার!,https://banglanews24.com/national/news/bd/991549.details,মেহেরপুর: মেহেরপুরের গাংনী শহরের বাজারপাড়া এলাকার বাসিন্দা মফিজুল ইসলাম মফে (৫০)। শহরের সুদকারবারী হানিফের কাছ থেকে চড়া সুদে ৮০,"১৭১১ ঘণ্টা, নভেম্বর ১৮, ২০২২"
মেহেরপুরে ব্যস্ত সময় পার করছেন গাছিরা,https://banglanews24.com/national/news/bd/991393.details,মেহেরপুর: কয়েক দিন ধরেই শীতের আমেজ শুরু হয়েছে। প্রতি বছরের মতো মেহেরপুরের গাছিরা খেজুরের রস আহরণের জন্য তোড়জোড় শুরু করেছেন। এখন গাছ,"১৪৩০ ঘণ্টা, নভেম্বর ১৮, ২০২২"
মেহেরপুরে তিন দিনব্যাপী আঞ্চলিক ইজতেমা শুরু,https://banglanews24.com/national/news/bd/990901.details,"মেহেরপুর : মেহেরপুরে শুরু হয়েছে তিন দিনব্যাপী তাবলিগ জামাতের আঞ্চলিক ইজতেমা।
বৃহস্পতিবার (১৭ নভেম্বর) থেকে জেলার সরকারি কলেজ মাঠে","১৭২২ ঘণ্টা, নভেম্বর ১৭, ২০২২"
"রাষ্ট্রদূতদের নাক গলানো ভালোভাবে দেখছি না, সতর্ক করা হবে",https://banglanews24.com/national/news/bd/990169.details,"মেহেরপুর: কৃষিমন্ত্রী ড. আব্দুর রাজ্জাক বলেছেন, জাপান বা অন্য কোনো দেশের রাষ্ট্রদূত আমাদের অভ্যন্তরীণ বিষয়ে নাক গলানো ভালোভাবে","১৬৫৭ ঘণ্টা, নভেম্বর ১৬, ২০২২"
বিদ্যুতের খোলা তারে শহর যেন মরণ ফাঁদ,https://banglanews24.com/power-fuel/news/bd/990136.details,মেহেরপুর: যত্রতত্র বিদ্যুতের খোলা তারে মেহেরপুর শহর যেন মরণ ফাঁদে পরিণত হয়েছে। জনবহল শহরে বাড়ির ছাদ বা জানালা বা বেলকুনির মাঝ দিয়ে,"১৬৩৫ ঘণ্টা, নভেম্বর ১৬, ২০২২"
ভ্রাম্যমাণ আদালতে ৪ দোকানিকে জরিমানা,https://banglanews24.com/national/news/bd/990085.details,"মেহেরপুর: অস্বাস্থ্যকর ও নোংরা পরিবেশে জিলাপি, মিষ্টি ও অন্যান্য খাদ্যপণ্য তৈরি এবং মূল্যতালিকা না রাখার অপরাধে মেহেরপুরের চারটি","১৫৪০ ঘণ্টা, নভেম্বর ১৬, ২০২২"
মহিষ চরানোর পর কৃষক যখন বাড়ি ফেরেন,https://banglanews24.com/offbeat/news/bd/989713.details,মেঠো পথ ধরে মহিষের পিঠে বসে নির্ভাবনায় গেরস্ত মাঠ থেকে বাড়ি ফেরা গ্রাম বাংলার এক চিরচেনা রূপ।  সারাদিন মাঠ থেকে মহিষ চরানোর পর কৃষক,"২১০৪ ঘণ্টা, নভেম্বর ১৫, ২০২২"
মেহেরপুরে ফুটবলারের আত্মহত্যা,https://banglanews24.com/national/news/bd/988069.details,"মেহেরপুর: মেহেরপুর সদর উপজেলায় লিজন আহম্মেদ নামের এক ফুটবলার গলায় দড়ি দিয়ে আত্মহত্যা করেছেন বলে অভিযোগ উঠেছে। 
শনিবার (১২ নভেম্বর)","১০২৭ ঘণ্টা, নভেম্বর ১৩, ২০২২"
মেহেরপুরে পরোয়ানাভুক্ত ৮ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/987607.details,"মেহেরপুর: মেহেরপুরে বিভিন্ন মামলায় আদালতের পরোয়ানাভুক্ত পলাতক আট আসামি গ্রেফতার করেছে পুলিশ।
শুক্রবার (১১ নভেম্বর) দিনগত রাতের","১৪৪০ ঘণ্টা, নভেম্বর ১২, ২০২২"
মেহেরপুরে ২ মিষ্টান্ন ভাণ্ডারকে ৭০ হাজার টাকা জরিমানা,https://banglanews24.com/national/news/bd/985846.details,মেহেরপুর: অপরিচ্ছন্ন ও নোংরা দুর্গন্ধযুক্ত পরিবেশে মিষ্টি তৈরি ও ওজনে কম দেওয়ার অভিযোগে দুই হোটেল ব্যবসায়ীকে ৭০ হাজার টাকা,"১৪৫০ ঘণ্টা, নভেম্বর ৯, ২০২২"
মেহেরপুরে বিভিন্ন মামলায় গ্রেফতার ৮,https://banglanews24.com/national/news/bd/985225.details,"মেহেরপুর: মেহেরপুরে পুলিশের নিয়মিত অভিযানে গত ২৪ ঘণ্টায় বিভিন্ন মামলার আটজন আসামি গ্রেফতার হয়েছেন।
এদের মধ্যে গাংনী থানা পুলিশ","১৪৫০ ঘণ্টা, নভেম্বর ৮, ২০২২"
মেহেরপুরে জেলা ও দায়রা জজের যোগদান,https://banglanews24.com/law-court/news/bd/984877.details,"মেহেরপুর: জেলা ও দায়রা জজ মো. শহিদুল্লাহ সোমবার (৭ নভেম্বর) দুপুরে তার কর্মস্থল মেহেরপুরে যোগদান করেছেন।
জেলা ও দায়রা জজ মো.","১৯২২ ঘণ্টা, নভেম্বর ৭, ২০২২"
​​​​​​​মেহেরপুর সীমান্তে বিজিবির অভিযানে ১২০ কেজি সিসা জব্দ,https://banglanews24.com/national/news/bd/978622.details,মেহেরপুর: মেহেরপুর সীমান্তে অভিযানে পরিচালনা করে পরিত্যক্ত অবস্থায় ১২০ কেজি ভারতীয় সিসা জব্দ করেছে বর্ডার গার্ড বাংলাদেশের,"১৭৩৭ ঘণ্টা, অক্টোবর ২৮, ২০২২"
স্ত্রীকে হত্যার ৫ ঘণ্টা পর মিলল স্বামীর ঝুলন্ত মরদেহ,https://banglanews24.com/national/news/bd/977701.details,"মেহেরপুর: স্ত্রী সাবিনা খাতুনকে (৩২) হত্যার পাঁচ ঘণ্টা পর ঘাতক স্বামী বিদ্যুত হোসেনের ঝুলন্ত মরদেহ উদ্ধার করেছে স্থানীয়রা।
বুধবার","০১৫৬ ঘণ্টা, অক্টোবর ২৭, ২০২২"
মেহেরপুরে মাদক মামলায় একজনের যাবজ্জীবন,https://banglanews24.com/law-court/news/bd/977572.details,মেহেরপুর: মাদক মামলায় মেহেরপুরে ছলিম উদ্দীন (৩৫) নামে একজনকে যাবজ্জীবন কারাদণ্ড দিয়েছেন আদালত। একই সঙ্গে তাকে ২৫ হাজার টাকা জরিমানা,"২০১০ ঘণ্টা, অক্টোবর ২৬, ২০২২"
তালাক দিতে চাওয়ায় স্ত্রীকে হত্যা!,https://banglanews24.com/national/news/bd/977161.details,"মেহেরপুর: তালাক দিতে চাওয়ায় স্ত্রী সাবিনা খাতুনকে (৩২) মাথা থেঁতলে হত্যা করে পালিয়ে গেছেন তার স্বামী বিদ্যুত হোসেন। 
মেহেরপুরের","১১০৮ ঘণ্টা, অক্টোবর ২৬, ২০২২"
মেহেরপুরে পুলিশের অভিযানে ৯ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/975994.details,মেহেরপুর: মেহেরপুর সদর ও গাংনী থানা পুলিশের ২৪ ঘণ্টার নিয়মিত অভিযানে আদালতের পরোয়ানাভুক্ত এবং নিয়মিত মামলায় নয় আসামি গ্রেফতার,"১৫৩৩ ঘণ্টা, অক্টোবর ২৪, ২০২২"
"হঠাৎ শীত, মেহেরপুরে বাড়ছে ঠাণ্ডাজনিত রোগী",https://banglanews24.com/national/news/bd/974836.details,মেহেরপুর: গত কয়েকদিন যাবৎ মেহেরপুরে কমতে শুরু করেছে তাপমাত্রা। এদিকে হঠাৎ করেই শীতের আগমনে জেলার সব হাসপাতালে বাড়ছে ঠাণ্ডাজনিত,"১৮২২ ঘণ্টা, অক্টোবর ২২, ২০২২"
১২ ঘণ্টার মধ্যে একে একে মারা গেল চার নবজাতক!,https://banglanews24.com/national/news/bd/974800.details,"মেহেরপুর: জন্ম নেওয়ার ১২ ঘণ্টার মধ্যেই একে একে মারা গেল চার নবজাতক। পরে এক সঙ্গেই দাফন করা হলো তাদের। 
শুক্রবার (২১ অক্টোবর) রাত ৯টার","১৭২২ ঘণ্টা, অক্টোবর ২২, ২০২২"
মেহেরপুরে সড়ক দুর্ঘটনায় ৪ শিক্ষার্থী আহত,https://banglanews24.com/national/news/bd/973801.details,মেহেরপুর: মেহেরপুর সদর উপজেলায় পৃথক দুটি সড়ক দুর্ঘটনায় চার শিক্ষার্থী আহত হয়েছে। আহতদের মধ্যে একজনের অবস্থা আশঙ্কাজনক।,"১৬২৩ ঘণ্টা, অক্টোবর ২০, ২০২২"
মেহেরপুরে মাদক মামলায় নারীর ৬ বছরের সাজা,https://banglanews24.com/law-court/news/bd/972541.details,মেহেরপুর: মেহেরপুরে ফেনসিডিল রাখার দায়ে আমাতুন নেছা (৪৫) নামে এক নারী মাদকবিক্রেতাকে ৬ বছরের সশ্রম কারাদণ্ড ও ২০ হাজার টাকা জরিমানা,"১৬৪১ ঘণ্টা, অক্টোবর ১৮, ২০২২"
